"college_name","Address","name","city_name","state","pop","lat","long","capital"
"University of Washington","P.O. Box 351230, Seattle, WA 98195-4550","Seattle WA","Seattle","WA",570430,47.62,-122.35,0
"West Virginia University","Presidents Office Box 6201, Morgantown, WV 26506-6201","Morgantown WV","Morgantown","WV",NA,NA,NA,NA
"Concordia University","12800 N. Lake Shore Dr., Mequon, WI 53097-2402","Mequon WI","Mequon","WI",NA,NA,NA,NA
"University of Wisconsin Madison","500 Lincoln Dr, Madison, WI 53706","Madison WI","Madison","WI",227642,43.08,-89.39,2
"University of Wisconsin Milwaukee","PO Box 413, Milwaukee, WI 53211","Milwaukee WI","Milwaukee","WI",575250,43.06,-87.97,0
"University of Wyoming","1000 E. University Ave., Laramie, WY 82071","Laramie WY","Laramie","WY",NA,NA,NA,NA
"Stanford University","450 Serra Mall, Stanford, CA 94305-2061","Stanford CA","Stanford","CA",NA,NA,NA,NA
"Purdue University","Hovde Hall of Administration, West Lafayette, IN 47907-2040","West Lafayette IN","West Lafayette","IN",NA,NA,NA,NA
"Arizona State University","500 North 3rd Street, Phoenix, AZ 85004-0698","Phoenix AZ","Phoenix","AZ",1450884,33.54,-112.07,2
"West Virginia University","PO Box 6108, Morgantown, WV 26506-6108","Morgantown WV","Morgantown","WV",NA,NA,NA,NA
